timestamp,website_url,error_type,error_message,region
2026-02-23T22:33:09.707Z,livedoor.jp,http,403,germany
2026-02-23T22:33:23.834Z,livedoor.com,http,403,germany
2026-02-23T22:34:11.344Z,myntra.com,http,403,germany
2026-02-23T22:34:26.287Z,fanfiction.net,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:34:27.412Z,merkur.de,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:34:48.099Z,kicker.de,http,403,germany
2026-02-23T22:35:04.086Z,emag.ro,http,511,germany
2026-02-23T22:35:04.873Z,odoo.com,http,403,germany
2026-02-23T22:35:06.760Z,autotrader.co.uk,http,403,germany
2026-02-23T22:35:07.743Z,jusbrasil.com.br,http,403,germany
2026-02-23T22:35:08.460Z,janitorai.com,http,403,germany
2026-02-23T22:35:08.873Z,sahibinden.com,http,403,germany
2026-02-23T22:35:24.221Z,cnnbrasil.com.br,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T22:36:26.142Z,donmai.us,http,404,germany
2026-02-23T22:36:28.127Z,8lyyu1vb4.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.8lyyu1vb4.com,germany
2026-02-23T22:36:38.329Z,jiomart.com,http,403,germany
2026-02-23T22:37:05.552Z,justdial.com,http,403,germany
2026-02-23T22:37:13.903Z,dbankcloud.cn,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:38:55.813Z,missav.ws,http,403,germany
2026-02-23T22:39:25.581Z,boyfriendtv.com,http,403,germany
2026-02-23T22:39:26.961Z,clarin.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T22:40:05.596Z,bookmyshow.com,http,403,germany
2026-02-23T22:40:59.203Z,skroutz.gr,http,403,germany
2026-02-23T22:41:21.573Z,leroymerlin.fr,http,403,germany
2026-02-23T22:42:22.097Z,hilton.com,http,403,germany
2026-02-23T22:42:23.143Z,hollywoodbets.net,http,403,germany
2026-02-23T22:42:35.968Z,zozo.jp,http,403,germany
2026-02-23T22:43:16.421Z,navitime.co.jp,http,403,germany
2026-02-23T22:43:23.258Z,haberler.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T22:43:24.059Z,oecd.org,http,403,germany
2026-02-23T22:43:25.392Z,cityheaven.net,http,403,germany
2026-02-23T22:43:29.214Z,ynet.co.il,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T22:43:47.124Z,uidai.gov.in,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:43:48.487Z,idealista.it,http,403,germany
2026-02-23T22:43:49.201Z,woxh.world,http,439,germany
2026-02-23T22:43:59.584Z,nosv.org,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:44:00.553Z,cm65.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.cm65.com,germany
2026-02-23T22:44:12.764Z,suumo.jp,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:44:50.177Z,p2yn.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.p2yn.com,germany
2026-02-23T22:45:34.315Z,tsyndicate.com,internal,Error: net::ERR_ABORTED at http://tsyndicate.com,germany
2026-02-23T22:47:36.782Z,trello.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
