website_url,text,normalized,element,category,distance,popup,vis_color,vis_backgroundColor,vis_fontSize,vis_fontWeight,vis_clickability,vis_score
netflix.com,Learn more,learnmore→,"<button id=""onetrust-pc-btn-handler"" aria-label=""Learn more, Opens the preference center dialog"">Learn more</button>",3,1,0,"rgb(51, 51, 51)","rgb(255, 255, 255)",13.008px,600,1,0.41897977941176473
netflix.com,Reject,reject,"<button id=""onetrust-reject-all-handler"">Reject</button>",2,0,0,"rgb(255, 255, 255)","rgb(229, 9, 20)",13.008px,600,1,1.4286980772112337
netflix.com,Accept,accept,"<button id=""onetrust-accept-btn-handler"">Accept</button>",1,0,0,"rgb(255, 255, 255)","rgb(229, 9, 20)",13.008px,600,1,1.4286980772112337
instagram.com,nb,ne,"<option value=""nb"">Norsk</option>",2,1,0,"rgb(28, 30, 33)","rgba(0, 0, 0, 0)",12px,400,0,-0.5
instagram.com,nl,ne,"<option value=""nl"">Nederlands</option>",2,1,0,"rgb(28, 30, 33)","rgba(0, 0, 0, 0)",12px,400,0,-0.5
instagram.com,ne,ne,"<option value=""ne"">नेपाली</option>",2,0,0,"rgb(28, 30, 33)","rgba(0, 0, 0, 0)",12px,400,0,-0.5
amazonaws.com,Accept,accept,<span>Accept</span>,1,0,0,"rgb(255, 255, 255)","rgba(0, 0, 0, 0)",14px,700,1,0.15537254901960784
amazonaws.com,Decline,decline,<span>Decline</span>,2,0,0,"rgb(84, 91, 100)","rgba(0, 0, 0, 0)",14px,700,1,1.6708042655658755
amazonaws.com,Customize,customize,<span>Customize</span>,3,0,0,"rgb(84, 91, 100)","rgba(0, 0, 0, 0)",14px,700,1,0.5647843137254902
windows.net,Accept,accept,"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" style=""overflow-x: visible;"">Accept</button>",1,0,0,"rgb(0, 0, 0)","rgb(235, 235, 235)",15px,400,1,0.1690196078431372
windows.net,Reject,reject,"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" style=""overflow-x: visible;"">Reject</button>",2,0,0,"rgb(0, 0, 0)","rgb(235, 235, 235)",15px,400,1,0.1690196078431372
windows.net,Manage cookies,managecookies,"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" style=""overflow-x: visible;"">Manage cookies</button>",3,0,0,"rgb(0, 0, 0)","rgb(235, 235, 235)",15px,400,1,0.1690196078431372
x.com,Show more about your choices.,showmoreaboutyourchoices,"<span class=""css-1jxf684 r-bcqeeo r-1ttztb7 r-qvutc0 r-poiln3"">Show more about your choices.</span>",3,0,0,"rgb(255, 255, 255)","rgba(0, 0, 0, 0)",13px,400,1,-0.0033688725490195193
x.com,Accept all cookies,acceptallcookies,"<span class=""css-1jxf684 r-bcqeeo r-1ttztb7 r-qvutc0 r-poiln3"">Accept all cookies</span>",1,0,0,"rgb(15, 20, 25)","rgba(0, 0, 0, 0)",15px,700,1,2.6206846673095465
x.com,Refuse non-essential cookies,refusenonessentialcookies,"<span class=""css-1jxf684 r-bcqeeo r-1ttztb7 r-qvutc0 r-poiln3"">Refuse non-essential cookies</span>",2,0,0,"rgb(15, 20, 25)","rgba(0, 0, 0, 0)",15px,700,1,2.6206846673095465
tiktok.com,Got it,gotit,"<div class=""TUXButton-label"">Got it</div>",1,0,0,"rgb(255, 59, 92)","rgba(0, 0, 0, 0)",16px,500,0,-0.5
tiktok.com,Decline optional cookies,declineoptionalcookies,"<button type=""button""><!--?lit$996558593$-->Decline optional cookies</button>",2,0,1,"rgb(22, 24, 35)","rgb(255, 255, 255)",16px,700,1,2.684346746896728
tiktok.com,Allow all,allowall,"<button type=""button""><!--?lit$996558593$-->Allow all</button>",1,0,1,"rgb(22, 24, 35)","rgb(255, 255, 255)",16px,700,1,2.1468175802300613
nginx.com,Customize Settings,customisesettings,"<button id=""truste-show-consent"" class=""truste-buttons"" type=""button"" aria-haspopup=""dialog"">Customize Settings</button>",3,1,0,"rgb(255, 255, 255)","rgb(67, 156, 211)",16px,400,1,1.03360726543382
nginx.com,No thanks,nothanks,"<button id=""truste-consent-required"" class=""truste-buttons"" type=""button"">No thanks</button>",2,0,0,"rgb(255, 255, 255)","rgb(67, 156, 211)",16px,400,1,0.7517322654338199
wordpress.com,Customize,customize,"<a class=""a8c-cookie-banner__button a8c-cookie-banner__customize-button a8c-cookie-banner__secondary-button"" href=""#"">Customize</a>",3,0,0,"rgb(56, 88, 233)","rgb(255, 255, 255)",16px,600,1,0.3152793065724143
wordpress.com,Accept all,acceptall,"<a class=""a8c-cookie-banner__button a8c-cookie-banner__accept-all-button"" href=""#"">Accept all</a>",1,0,0,"rgb(255, 255, 255)","rgb(56, 88, 233)",16px,600,1,0.9193690706611686
wordpress.com,Accept selection,acceptselection,"<a class=""a8c-cookie-banner__accept-selection-button"" href=""#"">Accept selection</a>",4,0,0,"rgb(255, 255, 255)","rgb(56, 88, 233)",16px,600,0,-0.5
youtu.be,Alle ablehnen,alleablehnen,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Alle ablehnen</span>",2,0,0,"rgb(255, 255, 255)","rgba(0, 0, 0, 0)",14px,500,0,-0.5
youtu.be,Alle akzeptieren,alleakzeptieren,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Alle akzeptieren</span>",1,0,0,"rgb(255, 255, 255)","rgba(0, 0, 0, 0)",14px,500,0,-0.5
youtu.be,Weitere Optionen,weitereoptionen,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Weitere Optionen</span>",3,0,0,"rgb(15, 15, 15)","rgba(0, 0, 0, 0)",14px,500,0,-0.5
youtube.com,Alle ablehnen,alleablehnen,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Alle ablehnen</span>",2,0,0,"rgb(255, 255, 255)","rgba(0, 0, 0, 0)",14px,500,0,-0.5
youtube.com,Alle akzeptieren,alleakzeptieren,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Alle akzeptieren</span>",1,0,0,"rgb(255, 255, 255)","rgba(0, 0, 0, 0)",14px,500,0,-0.5
youtube.com,Weitere Optionen,weitereoptionen,"<span class=""yt-core-attributed-string yt-core-attributed-string--white-space-no-wrap"" role=""text"" style="""">Weitere Optionen</span>",3,0,0,"rgb(15, 15, 15)","rgba(0, 0, 0, 0)",14px,500,0,-0.5
windows.com,Accept,accept,"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" data-bi-name=""accept"">Accept</button>",1,0,0,"rgb(0, 0, 0)","rgb(235, 235, 235)",15px,400,1,0.1690196078431372
windows.com,Reject,reject,"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" data-bi-name=""reject"">Reject</button>",2,0,0,"rgb(0, 0, 0)","rgb(235, 235, 235)",15px,400,1,0.1690196078431372
windows.com,Manage cookies,managecookies,"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" data-bi-name=""manage cookies"">Manage cookies</button>",3,0,0,"rgb(0, 0, 0)","rgb(235, 235, 235)",15px,400,1,0.1690196078431372
fastly.net,Accept all,acceptall,"<button id=""onetrust-accept-btn-handler"">Accept all</button>",1,0,0,"rgb(37, 32, 30)","rgb(231, 255, 122)",13.008px,600,1,1.4394516576031453
fastly.net,Reject all,rejectall,"<button id=""onetrust-reject-all-handler"">Reject all</button>",2,0,0,"rgb(231, 255, 122)","rgb(0, 0, 0)",13.008px,600,1,0.41259400850183814
fastly.net,Customize,customize,"<button id=""onetrust-pc-btn-handler"" aria-label=""Customize, Opens the preference center dialog"">Customize</button>",3,0,0,"rgb(231, 255, 122)","rgb(0, 0, 0)",13.008px,600,1,0.5659343405330881
europa.eu,Accept all cookies,acceptallcookies,"<a href=""#accept"" class=""wt-ecl-button wt-ecl-button--primary wt-cck--actions-button"">Accept all cookies</a>",1,0,0,"rgb(255, 255, 255)","rgb(14, 71, 203)",16px,400,1,1.5386952670723462
europa.eu,Accept only essential cookies,acceptonlyessentialcookies,"<a href=""#refuse"" class=""wt-ecl-button wt-ecl-button--primary wt-cck--actions-button"">Accept only essential cookies</a>",2,0,0,"rgb(255, 255, 255)","rgb(14, 71, 203)",16px,400,1,2.0135286004056794
office365.com,Annehmen,annehmen,"<button type=""button"" class=""_1XuCi2WhiqeWRUVp3pnFG3 erL690_8JwUW-R4bJRcfl"" style=""overflow-x: visible;"">Annehmen</button>",1,0,0,"rgb(0, 0, 0)","rgb(235, 235, 235)",15px,400,1,0.1690196078431372
