website_url;text;normalized;element;category;distance;popup;vis_color;vis_backgroundColor;vis_fontSize;vis_fontWeight;vis_clickability;vis_score
https://pubmatic.com;Customize Settings;customisesettings;"<button aria-label=""Customize Settings"" id=""ketch-banner-button-secondary"" data-nav=""eyJleHBlcmllbmNlIjoia2V0Y2gtY29uc2VudC1iYW5uZXIiLCJuYXYtaW5kZXgiOjN9"" class=""ketch-relative ketch-inline-flex ketch-items-center ketch-justify-center ketch-font-semibold ketch-transition ketch-duration-300 ketch-ease-in-out ketch-cursor-pointer ketch-shadow-none focus-visible:ketch-outline focus-visible:ketch-outline-2 focus-visible:ketch-outline-default-outline ketch-overflow-hidden ketch-rounded-none ketch-border-[1.5px] ketch-border-black ketch-border-solid ketch-text-black ketch-bg-transparent ketch-gap-3 active:ketch-bg-gradient-to-r active:ketch-from-states-pressed-darken active:ketch-to-states-pressed-darken hover:ketch-bg-gradient-to-r hover:ketch-from-states-hover-darken hover:ketch-to-states-hover-darken focus-visible:ketch-bg-gradient-to-r focus-visible:ketch-from-states-focus-darken focus-visible:ketch-to-states-focus-darken focus-visible:ketch-outline-offset-2 ketch-min-h-10 ketch-text-ketch-l ketch-px-4 ketch-w-full sm:ketch-w-auto !ketch-rounded-[--k-banner-buttons-secondary-cornerRadius] !ketch-text-[--k-banner-buttons-secondary-text-color] !ketch-border-[--k-banner-buttons-secondary-background-color] focus-visible:!ketch-outline !ketch-outline-2 !ketch-outline-white !ketch-outline-offset-2 lm:ketch-text-ketch-lm lm:ketch-min-h-10 lm:ketch-px-4 disabled:ketch-cursor-not-allowed disabled:ketch-pointer-events-none disabled:ketch-select-none disabled:ketch-opacity-[.24]"">Customize Settings</button>";3;1;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14px;600;1;0.78375
https://pubmatic.com;Accept All;acceptall;"<button aria-label=""Accept All"" id=""ketch-banner-button-primary"" data-nav=""eyJleHBlcmllbmNlIjoia2V0Y2gtY29uc2VudC1iYW5uZXIiLCJuYXYtaW5kZXgiOjR9"" class=""ketch-relative ketch-inline-flex ketch-items-center ketch-justify-center ketch-font-semibold ketch-transition ketch-duration-300 ketch-ease-in-out ketch-cursor-pointer ketch-shadow-none focus-visible:ketch-outline focus-visible:ketch-outline-2 focus-visible:ketch-outline-default-outline ketch-overflow-hidden ketch-rounded-none ketch-border-[1.5px] ketch-border-black ketch-border-solid ketch-text-black ketch-bg-transparent ketch-gap-3 active:ketch-bg-gradient-to-r active:ketch-from-states-pressed-darken active:ketch-to-states-pressed-darken hover:ketch-bg-gradient-to-r hover:ketch-from-states-hover-darken hover:ketch-to-states-hover-darken focus-visible:ketch-bg-gradient-to-r focus-visible:ketch-from-states-focus-darken focus-visible:ketch-to-states-focus-darken focus-visible:ketch-outline-offset-2 ketch-min-h-10 ketch-text-ketch-l ketch-px-4 ketch-w-full sm:ketch-w-auto !ketch-rounded-[--k-banner-buttons-primary-cornerRadius] !ketch-text-[--k-banner-buttons-primary-text-color] !ketch-border-[--k-banner-buttons-primary-background-color] focus-visible:!ketch-outline !ketch-outline-2 !ketch-outline-white !ketch-outline-offset-2 lm:ketch-text-ketch-lm lm:ketch-min-h-10 lm:ketch-px-4 disabled:ketch-cursor-not-allowed disabled:ketch-pointer-events-none disabled:ketch-select-none disabled:ketch-opacity-[.24]"">Accept All</button>";1;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14px;600;1;0.4904166666666667
https://discord.com;Cookie Settings;cookiessettings;"<a data-open-cookie-settings=""true"" href=""#"" class=""link-footer top-new-link"" tabindex=""0"">Cookie Settings</a>";3;1;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);16px;400;0;-0.5
https://bit.ly;Cookie Settings;cookiessettings;"<button id=""onetrust-pc-btn-handler"">Cookie Settings</button>";3;1;0;;;;;;
https://bit.ly;Accept All;acceptall;"<button id=""onetrust-accept-btn-handler"">Accept All</button>";1;0;0;;;;;;
https://paypal.com;Accept;accept;"<button class=""styles_button_base__6ka6j61 styles_button_size_lg__6ka6j62 styles_button_overlay__6ka6j69 styles_button_full_width__6ka6j6l acceptButton"" data-ppui-info="""" id=""acceptAllButton"" tab-index=""0"" pagename=""Pay, Send and Save Money with PayPal | PayPal US|acceptcookies"" pa-marked=""1"">Accept</button>";1;0;0;rgb(0, 0, 0);rgba(255, 255, 255, 0.7);14px;500;1;0.31954875974486174
https://paypal.com;Decline;decline;"<button class=""styles_button_base__6ka6j61 styles_button_size_lg__6ka6j62 styles_button_overlay__6ka6j69 styles_button_full_width__6ka6j6l declineButton"" data-ppui-info="""" id=""bannerDeclineButton"" tab-index=""0"" pa-marked=""1"">Decline</button>";2;0;0;rgb(0, 0, 0);rgba(255, 255, 255, 0.7);14px;500;1;0.34264875974486175
https://paypal.com;Close;close;"<span class=""styles_screenreader__1p05eo10"">Close</span>";1;0;0;rgb(104, 106, 109);rgba(0, 0, 0, 0);16px;400;0;-0.5
https://android.com;Learn more;learnmore→;"<a href=""https://policies.google.com/technologies/cookies?hl=en"" class=""glue-cookie-notification-bar__more"" rel=""noopener"" aria-describedby=""glue-cookie-notification-bar-1-label"" target=""_blank"" aria-label=""Learn more about how Google uses cookies. Opens in a new tab."">Learn more</a>";3;1;0;rgb(26, 115, 232);rgba(0, 0, 0, 0);18px;400;1;-0.5146900326797386
https://android.com;Agree;agree;"<button class=""glue-cookie-notification-bar__accept"">Agree</button>";1;0;0;rgb(255, 255, 255);rgb(26, 115, 232);16px;500;1;1.0639134691232814
https://android.com;No thanks;nothanks;"<button class=""glue-cookie-notification-bar__reject"">No thanks</button>";2;0;0;rgb(255, 255, 255);rgb(26, 115, 232);16px;500;1;1.2742259691232816
https://doubleverify.com;"""Do Not Sell or Share My Personal Information""";donotsellorsharemypersonalinformation;"<a onclick=""truste.eu &amp;&amp; truste.eu.clickListener &amp;&amp; truste.eu.clickListener()"" id=""do-not-sell-link"" class=""do-not-sell-link-banner"">""Do Not Sell or Share My Personal Information""</a>";2;0;0;rgb(20, 17, 91);rgba(0, 0, 0, 0);14px;400;1;0.2783505718954249
https://doubleverify.com;Accept;accept;"<button id=""truste-consent-button"">Accept</button>";1;0;0;rgb(255, 255, 255);rgb(110, 44, 181);15px;400;1;0.630501583884014
https://doubleverify.com;Opt-Out;optout;"<button id=""truste-consent-required"">Opt-Out</button>";2;0;0;rgb(255, 255, 255);rgb(110, 44, 181);15px;400;1;0.647432833884014
https://doubleverify.com;More Info;moreinfo;"<button id=""truste-show-consent"" aria-haspopup=""dialog"">More Info</button>";3;0;0;rgb(255, 255, 255);rgb(110, 44, 181);15px;400;1;0.693726583884014
https://theguardian.com;Do not sell or share my personal information;donotsellorsharemypersonalinformation;"<button title=""Do not sell or share my personal information"" aria-label=""Do not sell or share my personal information"" class=""message-component message-button no-children focusable gu-btn-dns sp_choice_type_13"" style=""opacity: 1; padding: 0px 15px 0px 10px; margin: 0px 0px 10px; border-width: 1px; border-color: rgb(255, 255, 255); border-radius: 20px; border-style: solid; font-size: 15px; font-weight: 700; color: rgb(255, 255, 255); font-family: arial, helvetica, sans-serif; background: rgb(5, 40, 98); width: auto;"">Do not sell or share my personal information</button>";2;0;1;rgb(255, 255, 255);rgb(5, 40, 98);15px;700;1;1.3020476390556222
https://theguardian.com;Closer;close;"<button title=""Closer"" aria-label=""Closer"" class=""message-component message-button no-children focusable gu-close-btn sp_choice_type_11"" style=""opacity: 1; padding: 0px; margin: 0px; border-width: 0px; border-color: rgb(255, 255, 255); border-radius: 11px; border-style: solid; font-size: 14px; font-weight: 400; color: transparent; font-family: arial, helvetica, sans-serif; background: transparent; width: 36px;"">Closer</button>";1;1;1;rgba(0, 0, 0, 0);rgba(0, 0, 0, 0);14px;400;1;1.0270083500066693
https://vungle.com;Preferences;preferences;"<span class=""cmplz-category-title"">Preferences</span>";3;0;0;rgb(34, 34, 34);rgba(0, 0, 0, 0);14px;500;0;-0.5
https://vungle.com;Preferences;preferences;"<span class=""screen-reader-text"">Preferences</span>";3;0;0;rgb(0, 0, 0);rgba(0, 0, 0, 0);16px;400;0;-0.5
https://vungle.com;Manage options;manageoptions;"<a class=""cmplz-link cmplz-manage-options cookie-statement"" href=""https://liftoff.ai/ja/cookie-policy/#cmplz-manage-consent-container"" data-relative_url=""#cmplz-manage-consent-container"">Manage options</a>";3;0;0;rgb(30, 115, 190);rgba(0, 0, 0, 0);12px;400;0;-0.5
https://vungle.com;Accept;accept;"<button class=""cmplz-btn cmplz-accept"">Accept</button>";1;0;0;rgb(255, 255, 255);rgb(39, 49, 67);14px;500;1;1.5116596119954924
https://vungle.com;Deny;deny;"<button class=""cmplz-btn cmplz-deny"">Deny</button>";2;0;0;rgb(39, 49, 67);rgb(255, 255, 255);14px;500;1;0.5705649052531462
https://vungle.com;View preferences;viewpreferences;"<button class=""cmplz-btn cmplz-view-preferences"">View preferences</button>";3;0;0;rgb(51, 51, 51);rgb(249, 249, 249);14px;500;0;-0.5
https://vungle.com;Save preferences;savepreferences;"<button class=""cmplz-btn cmplz-save-preferences"">Save preferences</button>";4;0;0;rgb(51, 51, 51);rgb(249, 249, 249);14px;500;0;-0.5
